agency,title,description,formats,link,
Land Information New Zealand,"Cook Islands Shoal Polygons (Topo, 1:50k, Zone3)","A submarine object over which the water is shallow, which is detached from the shore and whose bottom is visible at low water; may be a menace to navigation on the surface Data Dictionary for shoal_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-shoal_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3754,
Land Information New Zealand,"Cook Islands Building Points (Topo, 1:50k, Zone4)",A relatively permanent walled and roofed construction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3778,
Land Information New Zealand,"Cook Islands Building Points (Topo, 1:25k, Zone3)",A relatively permanent walled and roofed construction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3802,
Land Information New Zealand,"Niue Grave Points (Topo, 1:50k)",A location of one or more graves not within an officially designated cemetery.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3826,
Land Information New Zealand,"Tokelau Landfill Polygons (Topo, 1:25k)","A portion of land on which refuse, solid or semi-solid waste, is dumped and then covered with earth.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3850,
Land Information New Zealand,"Cook Islands Airport Polygons (Topo, 1:25k, Zone4)","A facility where aircraft can take off and land; usually consists of hard-surfaced landing strips, a control tower, hangars and accommodation for passengers and cargo Data Dictionary for airport_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-airport_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3874,
Land Information New Zealand,"Cook Islands Mast Points (Topo, 1:25k, Zone4)",A vertical pole serving as an antenna or antenna support.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3898,
Land Information New Zealand,"Cook Islands Waterfall Points (Topo, 1:25k, Zone4)",a sudden descent of water over a step or ledge in the bed of a river.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3922,
Land Information New Zealand,Whanganui 0.1m Urban Aerial Photos (2013),Orthophotography in the Whanganui region taken in the flying season (summer period) 2012 - 2013.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3946,
Ministry for the Environment (MfE),River Environment Classification Watershed Otago (2010),The New Zealand River Environment Classification (REC) organises information about the physical characteristics of New Zealand's rivers.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4138,
 Central Otago 0.4m Rural Aerial Photos Index Tiles (2013-14),Southland &amp,Land Information New Zealand,"Index Tiles ONLY, for actual orthophotos see layer Southland & Central Otago 0.4m Rural Aerial Photos (2013-14)[http://data.linz.govt.nz/layer/2344] Orthophotography for the Southland & Central Otago regions taken in the flying season (summer period) 2013 - 2014.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4210
New Zealand Defence Force,SW Pacific Memorial Monument Points,Show a marker erected and/or maintained as a memorial to a person and/or event.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4234,
New Zealand Defence Force,SW Pacific Extraction Mine Areas,Shows an excavation made in the terrain for the purpose of extracting and/or exploiting natural resources.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4258,
New Zealand Defence Force,SW Pacific Cistern Points,Shows a man-made container used for the collection and/or storage of water.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4282,
New Zealand Defence Force,SW Pacific River Lines,Show a natural flowing watercourse.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4306,
New Zealand Defence Force,SW Pacific Pipeline Lines,"Show a connected set of pipes for conveying liquids, slurries, or gases.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4330,
New Zealand Defence Force,SW Pacific River Areas,Show a natural flowing watercourse.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4354,
Canterbury Regional Council,Harbour Navigation Safety Reserved Areas,Location of the navigation safety Reserved areas.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4426,
Canterbury Regional Council,RLTS Strategic Network,Location of the Metropolitan bus routes.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4450,
Canterbury Regional Council,Flow Sensitive Catchment,Shows the Flow sensitive Catchments.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4522,
Canterbury Regional Council,"Protected Recreational, Cultural or Historic Sites (area)","Protected Recreational, Cultural or Historic Sites as represented by areas in map series 2 of the Canterbury Regional Coastal Environmnet Plan (RCEP) 2005.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4570,
Land Information New Zealand,"NZ Campbell Is Terrain Relief (Topo, 1:50k)","In addition to contour lines, relief shading helps visualise the terrain.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4666,
Canterbury Regional Council,Hawarden DEM 2015,Hawarden 2015 DEM.,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4690,
Ministry for the Environment (MfE),Fishing effort (number of trawl tows) by year (1990–2014),Seabed trawling is the practice of towing fishing nets near or along the ocean floor.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4786,
Ministry for the Environment (MfE),"Mean fish index of biotic integrity (IBI) scores for all river sites, by decade, 1970-2007",Freshwater fish are an important component of freshwater ecosystems and a valued resource for M??ori and recreational fishers.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4810,
Ministry for the Environment (MfE),"Estimated highly erodible land in North Island, by region, 2012",Some areas of New Zealand’s North Island are classified as highly erodible land.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4834,
Ministry for the Environment (MfE),Notified cases of salmonellosis (1997–2013),"Bacteria and parasites like campylobacter, salmonella, and cryptosporidium can contaminate our food and water, leading to serious illness.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4858,
Ministry for the Environment (MfE),"Total suspended particulates exceedances in Auckland, 1965–2013","Total suspended particulates (TSP) consist of all solid particles and liquid droplets up to 100 micrometres (µm) in diameter (ie when compared with PM10 and PM2.5, TSP is the equivalent of PM100).","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4882,
Ministry for the Environment (MfE),"Lake water quality trends, 2004-2013","When nutrients accumulate in lakes (referred to as ‘nutrient enrichment’) above certain levels, they can make the lakes murky and green with algae, and lower oxygen levels.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4906,
Ministry for the Environment (MfE),High class land for food production South Island 2012,"""This data identified areas in the North Island that have been classified as being the most productive for growing food.","['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5074,
Ministry for the Environment (MfE),Recruitment of indigenous tree sp Halls t??tara 2002–2014,"""The rates of establishment (recruitment) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5098,
Ministry for the Environment (MfE),"Total Nitrogen, 2009–2013","""Small amounts of nitrogen are a natural component of healthy rivers.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5122,
Ministry for the Environment (MfE),Freshwater pests: Ferny azolla,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5146,
Ministry for the Environment (MfE),Freshwater pests: American ribbed fluke snail,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5170,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 2010,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5194,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1974",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5218,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1994,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5242,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1979,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5266,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1999,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5290,
Ministry for the Environment (MfE),"Annual rainfall, 1991","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5314,
Ministry for the Environment (MfE),Sunshine hours 1973,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5338,
Ministry for the Environment (MfE),Sunshine hours 1987,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5362,
Ministry for the Environment (MfE),Sunshine hours 2009,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5386,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 1985-1986",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5410,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 2004-2005",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5434,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1999-2000,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5458,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1975-1976,"""Soil moisture is important for plant growth.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5482,
Canterbury Regional Council,Upper Selwyn Area DEM 2015,Upper Selwyn Area DEM 2015,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5506,
Statistics New Zealand,Urban Area 2016 Generalised Version,This Data service is a prototype model to enable people to find Statistics NZ data in geographic and other formats.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5530,
Palmerston North City Council,Water Mains,Water Main Lines location data held by Palmerston North City Council.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5554,
Land Information New Zealand,Hawkes Bay 0.3m Rural Aerial Photos (2014-15),Orthophotography in the Hawkes's Bay region taken in the flying season (summer period) 2014 - 2015.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5578,
Land Information New Zealand,Antarctic Bathymetric Data Index,This index enables you to identify the freely available bathymetric data held and used by LINZ on its Antarctic (Ross Dependency) coastal nautical charts.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5602,
Landcare Research,"PBC - Predicted Background Soil Concentrations, New Zealand","The Predicted Background Concentration (PBC) shapefile contains spatial information on the effective median, and 95th quantile estimates of the background concentration (mg/kg) of arsenic, cadmium, chromium, copper, lead, nickel and zinc across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5650,
Land Information New Zealand,Dunedin-Bluff 1960 to NZVD2016 Conversion,The DBL60-NZVD2016 grid enables the conversion of normal-orthometric heights from the Dunedin-Bluff 1960 local vertical datum to the New Zealand Vertical Datum 2016 (NZVD2016).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5674,
Land Information New Zealand,Christchurch 0.075m Urban Aerial Photos Tile Index (2015-16),"Index Tiles ONLY, for actual orthophotos see layer Christchurch 0.075m Urban Aerial Photos (2015-16)[http://data.linz.govt.nz/layer/3451] Orthophotography in the Christchurch City Council area taken in the flying season (summer period) 2015-16.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5698,
